topic,type,query,value
청약,top,주택 청약,100
청약,top,lh 청약,87
청약,top,lh,87
청약,top,청약 플러스,61
청약,top,sh 청약,55
청약,top,sh,55
청약,top,lh 청약 플러스,51
청약,top,청약 통장,47
청약,top,청약 센터,46
청약,top,청년 청약,32
청약,top,sh 청약 센터,31
청약,top,청약 저축,27
청약,top,청년 주택,26
청약,top,청년 주택 청약,26
청약,top,주택 청약 통장,22
청약,top,청약 철회,19
청약,top,주택 청약 종합 저축,18
청약,top,lh 청약 센터,15
청약,top,청년 청약 통장,15
청약,top,청년 주택 드림 청약,15
청약,top,아파트 청약,15
청약,top,청년 드림 청약 통장,12
청약,top,청년 주택 드림 청약 통장,11
청약,top,서울 청약,11
청약,top,lh 주택 청약,10
청약,rising,복정 청약,250
청약,rising,브라운 스톤 목동,170
청약,rising,청약 납입 횟수 조회,90
청약,rising,발 로란트 청약 철회 사이트,70
청약,rising,청약 통장 순위 확인서,50
아파트,top,주공 아파트,100
아파트,top,서울 아파트,60
아파트,top,아파트 시세,60
아파트,top,잠실 주공 5 단지 아파트,55
아파트,top,아파트 매매,51
아파트,top,신비 아파트,50
아파트,top,임대 아파트,47
아파트,top,아파트 실거래,33
아파트,top,자이 아파트,28
아파트,top,아파트 아이,21
아파트,top,아파트 실거래 가,20
아파트,top,아파트 청약,17
아파트,top,아파트 관리비,17
아파트,top,은마 아파트,15
아파트,top,아파트 경매,12
아파트,top,아파트 평면도,9
아파트,top,하안 주공 5 단지 아파트,8
아파트,top,아파트 드라마,7
아파트,top,목동 신시가지 7 단지 아파트,4
아파트,top,철산 자이 브리에르 아파트,4
아파트,top,과천 푸르지오 벨라 르테 아파트,3
아파트,top,성산 시영 아파트,2
아파트,top,목동 6 단지 아파트,1
아파트,top,거제 아파트 다나와,1
아파트,rising,철산 자이 브리에르 아파트,15150
아파트,rising,과천 푸르지오 벨라 르테 아파트,10850
아파트,rising,목동 신시가지 7 단지 아파트,2100
아파트,rising,잠실 주공 5 단지 아파트,1550
아파트,rising,목동 6 단지 아파트,400
아파트,rising,거제 아파트 다나와,190
아파트,rising,하안 주공 5 단지 아파트,190
아파트,rising,주공 아파트,150
아파트,rising,성산 시영 아파트,50
AI,top,클로드 ai,100
AI,top,구글 ai,75
AI,top,제미 나이 ai,73
AI,top,google ai,67
AI,top,gemini ai,60
AI,top,claude ai,53
AI,top,ai 영상,42
AI,top,오픈 ai,36
AI,top,ai 추천,33
AI,top,open ai,33
AI,top,ai studio,33
AI,top,ai 스튜디오,30
AI,top,제타 ai,23
AI,top,ai 채팅,23
AI,top,ai 모드,22
AI,top,구글 ai 스튜디오,20
AI,top,genspark ai,20
AI,top,flow ai,17
AI,top,ai 그림,16
AI,top,meta ai,13
AI,top,kling ai,11
AI,top,자소서 ai,9
AI,top,ai mode,8
AI,top,gamma ai,4
AI,top,arena ai,3
AI,rising,open ai,60
AI,rising,유니 브 ai,50
AI,rising,meta ai,50
